safe_file,original_file,title,artist,license,source,attribution,mood
music_safe/track-013.mp3,A. Cooper - Happiness.mp3,Happiness,A. Cooper,CC BY,https://freemusicarchive.org/music/a-cooper/the-anthony-cooper-abm-vii,A. Cooper - Happiness - CC BY,chill
music_safe/track-014.mp3,Andrey Petrov - Can’t Wait Till I Graduate.mp3,Can’t Wait Till I Graduate,Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/,Andrey Petrov - Can’t Wait Till I Graduate - CC BY 4.0,chill
music_safe/track-015.mp3,Andrey Petrov - Guilty are the clouds 2.mp3,Guilty are the clouds 2,Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/,Andrey Petrov - Guilty are the clouds 2 - CC BY 4.0,chill
music_safe/track-016.mp3,Andrey Petrov - I won't hear the wind's tale.mp3,I won't hear the wind's tale,Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/,Andrey Petrov - I won't hear the wind's tale - CC BY 4.0,chill
music_safe/track-017.mp3,Andrey Petrov - Who said.mp3,Who said,Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/,Andrey Petrov - Who said - CC BY 4.0,chill
music_safe/track-018.mp3,Andrey Petrov - You’ve got to be kidding.mp3,You’ve got to be kidding,Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/,Andrey Petrov - You’ve got to be kidding - CC BY 4.0,chill
music_safe/track-019.mp3,"Andrey Petrov - Зажигай, веселись.mp3","Зажигай, веселись",Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/,"Andrey Petrov - Зажигай, веселись - CC BY 4.0",chill
music_safe/track-020.mp3,Andrey Petrov - Закроем окна.mp3,Закроем окна,Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/,Andrey Petrov - Закроем окна - CC BY 4.0,chill
music_safe/track-021.mp3,Andrey Petrov - И виноваты облака.mp3,И виноваты облака,Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/,Andrey Petrov - И виноваты облака - CC BY 4.0,chill
music_safe/track-022.mp3,Andrey Petrov - Рано-рано.mp3,Рано-рано,Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/,Andrey Petrov - Рано-рано - CC BY 4.0,chill
music_safe/track-023.mp3,Andrey Petrov - Сквозь тонкие шторы струится рассвет.mp3,Сквозь тонкие шторы струится рассвет,Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/,Andrey Petrov - Сквозь тонкие шторы струится рассвет - CC BY 4.0,morning
music_safe/track-024.mp3,Andrey Petrov - Тихо капает дождик с утра.mp3,Тихо капает дождик с утра,Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/,Andrey Petrov - Тихо капает дождик с утра - CC BY 4.0,evening
music_safe/track-025.mp3,Andrey Petrov - Я не увижу сказки ветра (RUS).mp3,Я не увижу сказки ветра (RUS),Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/,Andrey Petrov - Я не увижу сказки ветра (RUS) - CC BY 4.0,chill
music_safe/track-026.mp3,Avantist - Deep Red Love.mp3,Deep Red Love,Avantist,CC BY 4.0,https://freemusicarchive.org/music/avantist/avantist/deep-red-love/,Avantist - Deep Red Love - CC BY 4.0,chill
music_safe/track-027.mp3,David Blair - We Are Canucks.mp3,We Are Canucks,David Blair,Attribution License,https://freemusicarchive.org/music/David_Blair/,David Blair - We Are Canucks - Attribution License,chill
music_safe/track-028.mp3,Elephant Funeral - I Think From Now On.mp3,I Think From Now On,Elephant Funeral,CC BY,https://freemusicarchive.org/index.php/music/Caleb_Lemond/The_Learning_Curve,Elephant Funeral - I Think From Now On - CC BY,chill
music_safe/track-029.mp3,Elephant Funeral - Slow and Steady.mp3,Slow and Steady,Elephant Funeral,CC BY,https://freemusicarchive.org/index.php/music/Caleb_Lemond/The_Learning_Curve,Elephant Funeral - Slow and Steady - CC BY,evening
music_safe/track-030.mp3,Elephant Funeral - The Dream and the Dreamer.mp3,The Dream and the Dreamer,Elephant Funeral,CC BY,https://freemusicarchive.org/index.php/music/Caleb_Lemond/The_Learning_Curve,Elephant Funeral - The Dream and the Dreamer - CC BY,evening
music_safe/track-031.mp3,HoliznaCC0 - You Are My Sunshine (1).mp3,You Are My Sunshine (1),HoliznaCC0,CC0 1.0 Universal,https://freemusicarchive.org/music/holiznacc0/,HoliznaCC0 - You Are My Sunshine (1) - CC0 1.0 Universal,morning
music_safe/track-032.mp3,HoliznaCC0 - You Are My Sunshine.mp3,You Are My Sunshine,HoliznaCC0,CC0 1.0 Universal,https://freemusicarchive.org/music/holiznacc0/,HoliznaCC0 - You Are My Sunshine - CC0 1.0 Universal,morning
music_safe/track-033.mp3,Jenna Jay - Someone Real - Jenna Jay.mp3,Someone Real - Jenna Jay,Jenna Jay,CC0 1.0 Universal,https://freemusicarchive.org/music/jenna-jay/single/someone-real-jenna-jay/,Jenna Jay - Someone Real - Jenna Jay - CC0 1.0 Universal,chill
music_safe/track-034.mp3,JMHBM - Good Ol' Days.mp3,Good Ol' Days,JMHBM,CC BY 4.0,https://freemusicarchive.org/music/beat-mekanik/single/good-ol-days/,JMHBM - Good Ol' Days - CC BY 4.0,chill
music_safe/track-035.mp3,Lopkerjo - Everthing He Touches SCAT.mp3,Everthing He Touches SCAT,Lopkerjo,CC BY 4.0,https://freemusicarchive.org/music/john-lopker/everything-he-touches/everthing-he-touches-scat/,Lopkerjo - Everthing He Touches SCAT - CC BY 4.0,chill
music_safe/track-037.mp3,Lopkerjo - Seize the Day Blues.mp3,Seize the Day Blues,Lopkerjo,CC BY 4.0,https://freemusicarchive.org/music/john-lopker/love-easily-2026-lopkerjo/seize-the-day-blues/,Lopkerjo - Seize the Day Blues - CC BY 4.0,jazz
music_safe/track-040.mp3,"Oh Yeah, the Future - Autopsy.mp3",Autopsy,"Oh Yeah, the Future",Attribution License,https://freemusicarchive.org/music/Oh_Yeah_the_Future_1152/New_brave_face/,"Oh Yeah, the Future - Autopsy - Attribution License",chill
music_safe/track-041.mp3,"Oh Yeah, the Future - First Glance.mp3",First Glance,"Oh Yeah, the Future",Attribution License,https://freemusicarchive.org/music/Oh_Yeah_the_Future_1152/New_brave_face/,"Oh Yeah, the Future - First Glance - Attribution License",chill
music_safe/track-042.mp3,"Oh Yeah, the Future - Lackadaisical.mp3",Lackadaisical,"Oh Yeah, the Future",Attribution License,https://freemusicarchive.org/music/Oh_Yeah_the_Future_1152/New_brave_face/,"Oh Yeah, the Future - Lackadaisical - Attribution License",chill
music_safe/track-043.mp3,"Oh Yeah, the Future - Lovedreams.mp3",Lovedreams,"Oh Yeah, the Future",Attribution License,https://freemusicarchive.org/music/Oh_Yeah_the_Future_1152/New_brave_face/,"Oh Yeah, the Future - Lovedreams - Attribution License",evening
music_safe/track-044.mp3,"Oh Yeah, the Future - New Brave Face.mp3",New Brave Face,"Oh Yeah, the Future",Attribution License,https://freemusicarchive.org/music/Oh_Yeah_the_Future_1152/New_brave_face/,"Oh Yeah, the Future - New Brave Face - Attribution License",chill
music_safe/track-045.mp3,"Oh Yeah, the Future - Snowday.mp3",Snowday,"Oh Yeah, the Future",Attribution License,https://freemusicarchive.org/music/Oh_Yeah_the_Future_1152/New_brave_face/,"Oh Yeah, the Future - Snowday - Attribution License",chill
