safe_file,original_file,title,artist,license,source,attribution
music_safe/track-001.mp3,Andrey Petrov - Guilty are the clouds 2.mp3,Guilty are the clouds 2,Andrey Petrov,TODO: CC0 / CC BY,TODO: вставить ссылку на источник,Andrey Petrov - Guilty are the clouds 2 - TODO LICENSE
music_safe/track-002.mp3,Andrey Petrov - I won't hear the wind's tale.mp3,I won't hear the wind's tale,Andrey Petrov,TODO: CC0 / CC BY,TODO: вставить ссылку на источник,Andrey Petrov - I won't hear the wind's tale - TODO LICENSE
music_safe/track-003.mp3,Andrey Petrov - Who said.mp3,Who said,Andrey Petrov,TODO: CC0 / CC BY,TODO: вставить ссылку на источник,Andrey Petrov - Who said - TODO LICENSE
music_safe/track-004.mp3,Andrey Petrov - Winter (Зима).mp3,Winter (Зима),Andrey Petrov,TODO: CC0 / CC BY,TODO: вставить ссылку на источник,Andrey Petrov - Winter (Зима) - TODO LICENSE
music_safe/track-005.mp3,"Andrey Petrov - Зажигай, веселись.mp3","Зажигай, веселись",Andrey Petrov,TODO: CC0 / CC BY,TODO: вставить ссылку на источник,"Andrey Petrov - Зажигай, веселись - TODO LICENSE"
music_safe/track-006.mp3,Andrey Petrov - И виноваты облака.mp3,И виноваты облака,Andrey Petrov,TODO: CC0 / CC BY,TODO: вставить ссылку на источник,Andrey Petrov - И виноваты облака - TODO LICENSE
music_safe/track-007.mp3,Andrey Petrov - Рано-рано.mp3,Рано-рано,Andrey Petrov,TODO: CC0 / CC BY,TODO: вставить ссылку на источник,Andrey Petrov - Рано-рано - TODO LICENSE
music_safe/track-008.mp3,Andrey Petrov - Сквозь тонкие шторы струится рассвет.mp3,Сквозь тонкие шторы струится рассвет,Andrey Petrov,TODO: CC0 / CC BY,TODO: вставить ссылку на источник,Andrey Petrov - Сквозь тонкие шторы струится рассвет - TODO LICENSE
music_safe/track-009.mp3,Andrey Petrov - Тихо капает дождик с утра.mp3,Тихо капает дождик с утра,Andrey Petrov,TODO: CC0 / CC BY,TODO: вставить ссылку на источник,Andrey Petrov - Тихо капает дождик с утра - TODO LICENSE
music_safe/track-010.mp3,Andrey Petrov - Я не увижу сказки ветра (RUS).mp3,Я не увижу сказки ветра (RUS),Andrey Petrov,TODO: CC0 / CC BY,TODO: вставить ссылку на источник,Andrey Petrov - Я не увижу сказки ветра (RUS) - TODO LICENSE
music_safe/track-011.mp3,SUPERARE - Replay.mp3,Replay,SUPERARE,TODO: CC0 / CC BY,TODO: вставить ссылку на источник,SUPERARE - Replay - TODO LICENSE
music_safe/track-012.mp3,Vlad Annenkov - Fresh Motivational Corporate _Beacon Line_.mp3,Fresh Motivational Corporate _Beacon Line_,Vlad Annenkov,TODO: CC0 / CC BY,TODO: вставить ссылку на источник,Vlad Annenkov - Fresh Motivational Corporate _Beacon Line_ - TODO LICENSE
