safe_file,original_file,title,artist,license,source,attribution
music_safe/track-059.mp3,A. Cooper - Dreams.mp3,Dreams,A. Cooper,NEEDS LICENSE,NEEDS FMA TRACK URL,A. Cooper - Dreams - NEEDS LICENSE
music_safe/track-060.mp3,Adeline Yeo (HP) - 岁月的痕迹 (SuiYueDeHenJi).mp3,岁月的痕迹 (SuiYueDeHenJi),Adeline Yeo (HP),NEEDS LICENSE,NEEDS FMA TRACK URL,Adeline Yeo (HP) - 岁月的痕迹 (SuiYueDeHenJi) - NEEDS LICENSE
music_safe/track-061.mp3,Adeline Yeo (HP) - 心跳的声音 (XinTiaoDeShengYin).mp3,心跳的声音 (XinTiaoDeShengYin),Adeline Yeo (HP),NEEDS LICENSE,NEEDS FMA TRACK URL,Adeline Yeo (HP) - 心跳的声音 (XinTiaoDeShengYin) - NEEDS LICENSE
music_safe/track-062.mp3,Andrey Petrov - The Road Ahead.mp3,The Road Ahead,Andrey Petrov,NEEDS LICENSE,NEEDS FMA TRACK URL,Andrey Petrov - The Road Ahead - NEEDS LICENSE
music_safe/track-063.mp3,Andrey Petrov - Быстрый ветер быстрый фанк.mp3,Быстрый ветер быстрый фанк,Andrey Petrov,NEEDS LICENSE,NEEDS FMA TRACK URL,Andrey Petrov - Быстрый ветер быстрый фанк - NEEDS LICENSE
music_safe/track-064.mp3,"Andrey Petrov - Лето, рилсы, смузи, танцы.mp3","Лето, рилсы, смузи, танцы",Andrey Petrov,NEEDS LICENSE,NEEDS FMA TRACK URL,"Andrey Petrov - Лето, рилсы, смузи, танцы - NEEDS LICENSE"
music_safe/track-065.mp3,Andrey Petrov - Мы Слушаем Джаз.mp3,Мы Слушаем Джаз,Andrey Petrov,NEEDS LICENSE,NEEDS FMA TRACK URL,Andrey Petrov - Мы Слушаем Джаз - NEEDS LICENSE
music_safe/track-066.mp3,Andrey Petrov - Однажды утро.mp3,Однажды утро,Andrey Petrov,NEEDS LICENSE,NEEDS FMA TRACK URL,Andrey Petrov - Однажды утро - NEEDS LICENSE
music_safe/track-067.mp3,Andrey Petrov - Танец под дудочку.mp3,Танец под дудочку,Andrey Petrov,NEEDS LICENSE,NEEDS FMA TRACK URL,Andrey Petrov - Танец под дудочку - NEEDS LICENSE
music_safe/track-068.mp3,Andrey Petrov - Утро с ветерком.mp3,Утро с ветерком,Andrey Petrov,NEEDS LICENSE,NEEDS FMA TRACK URL,Andrey Petrov - Утро с ветерком - NEEDS LICENSE
music_safe/track-069.mp3,Austin Moffa - You Will Fall.mp3,You Will Fall,Austin Moffa,NEEDS LICENSE,NEEDS FMA TRACK URL,Austin Moffa - You Will Fall - NEEDS LICENSE
music_safe/track-070.mp3,Billy Murray - My Old New Jersey Home.mp3,My Old New Jersey Home,Billy Murray,NEEDS LICENSE,NEEDS FMA TRACK URL,Billy Murray - My Old New Jersey Home - NEEDS LICENSE
music_safe/track-071.mp3,Breuss Arrizabalaga Quintet - Mount Fuji.mp3,Mount Fuji,Breuss Arrizabalaga Quintet,NEEDS LICENSE,NEEDS FMA TRACK URL,Breuss Arrizabalaga Quintet - Mount Fuji - NEEDS LICENSE
music_safe/track-072.mp3,Bryan Mathys - It's Not Hard to Get Lost.mp3,It's Not Hard to Get Lost,Bryan Mathys,NEEDS LICENSE,NEEDS FMA TRACK URL,Bryan Mathys - It's Not Hard to Get Lost - NEEDS LICENSE
music_safe/track-073.mp3,Bryan Mathys - Wild Heart.mp3,Wild Heart,Bryan Mathys,NEEDS LICENSE,NEEDS FMA TRACK URL,Bryan Mathys - Wild Heart - NEEDS LICENSE
music_safe/track-074.mp3,Cullah - Neurosis Of The Liver.mp3,Neurosis Of The Liver,Cullah,NEEDS LICENSE,NEEDS FMA TRACK URL,Cullah - Neurosis Of The Liver - NEEDS LICENSE
music_safe/track-075.mp3,Cullah - The Fallow Fellow.mp3,The Fallow Fellow,Cullah,NEEDS LICENSE,NEEDS FMA TRACK URL,Cullah - The Fallow Fellow - NEEDS LICENSE
music_safe/track-076.mp3,Cullah - To The Rhythm of the Funk.mp3,To The Rhythm of the Funk,Cullah,NEEDS LICENSE,NEEDS FMA TRACK URL,Cullah - To The Rhythm of the Funk - NEEDS LICENSE
music_safe/track-077.mp3,Cullah - Where You Do Belong.mp3,Where You Do Belong,Cullah,NEEDS LICENSE,NEEDS FMA TRACK URL,Cullah - Where You Do Belong - NEEDS LICENSE
music_safe/track-078.mp3,G.H. Elliot - Hello Susie Green.mp3,Hello Susie Green,G.H. Elliot,NEEDS LICENSE,NEEDS FMA TRACK URL,G.H. Elliot - Hello Susie Green - NEEDS LICENSE
music_safe/track-079.mp3,Greg Atkinson - Freyasberg.mp3,Freyasberg,Greg Atkinson,NEEDS LICENSE,NEEDS FMA TRACK URL,Greg Atkinson - Freyasberg - NEEDS LICENSE
music_safe/track-080.mp3,JMHBM - Dirty Dog.mp3,Dirty Dog,JMHBM,NEEDS LICENSE,NEEDS FMA TRACK URL,JMHBM - Dirty Dog - NEEDS LICENSE
music_safe/track-081.mp3,JMHBM - Flashback.mp3,Flashback,JMHBM,NEEDS LICENSE,NEEDS FMA TRACK URL,JMHBM - Flashback - NEEDS LICENSE
music_safe/track-082.mp3,JMHBM - Stampede.mp3,Stampede,JMHBM,NEEDS LICENSE,NEEDS FMA TRACK URL,JMHBM - Stampede - NEEDS LICENSE
music_safe/track-083.mp3,Katy Kirby - Every Time.mp3,Every Time,Katy Kirby,NEEDS LICENSE,NEEDS FMA TRACK URL,Katy Kirby - Every Time - NEEDS LICENSE
music_safe/track-084.mp3,Kevin MacLeod - Slow Burn.mp3,Slow Burn,Kevin MacLeod,NEEDS LICENSE,NEEDS FMA TRACK URL,Kevin MacLeod - Slow Burn - NEEDS LICENSE
music_safe/track-085.mp3,Koi-discovery - Beer-Blues.mp3,Beer-Blues,Koi-discovery,NEEDS LICENSE,NEEDS FMA TRACK URL,Koi-discovery - Beer-Blues - NEEDS LICENSE
music_safe/track-086.mp3,Lopkerjo - No Kings Blues.mp3,No Kings Blues,Lopkerjo,NEEDS LICENSE,NEEDS FMA TRACK URL,Lopkerjo - No Kings Blues - NEEDS LICENSE
music_safe/track-087.mp3,LowLevA - Kids at play.mp3,Kids at play,LowLevA,NEEDS LICENSE,NEEDS FMA TRACK URL,LowLevA - Kids at play - NEEDS LICENSE
music_safe/track-088.mp3,Mahogany Marie - Kick Back.mp3,Kick Back,Mahogany Marie,NEEDS LICENSE,NEEDS FMA TRACK URL,Mahogany Marie - Kick Back - NEEDS LICENSE
music_safe/track-089.mp3,Monroe Silver - The Shiek of Avenue B.mp3,The Shiek of Avenue B,Monroe Silver,NEEDS LICENSE,NEEDS FMA TRACK URL,Monroe Silver - The Shiek of Avenue B - NEEDS LICENSE
music_safe/track-090.mp3,"Oh Yeah, the Future - Hungry.mp3",Hungry,"Oh Yeah, the Future",NEEDS LICENSE,NEEDS FMA TRACK URL,"Oh Yeah, the Future - Hungry - NEEDS LICENSE"
music_safe/track-091.mp3,"Oh Yeah, the Future - Roundtrip.mp3",Roundtrip,"Oh Yeah, the Future",NEEDS LICENSE,NEEDS FMA TRACK URL,"Oh Yeah, the Future - Roundtrip - NEEDS LICENSE"
music_safe/track-092.mp3,"Oh Yeah, the Future - The Pursuit of Unintentional Humor.mp3",The Pursuit of Unintentional Humor,"Oh Yeah, the Future",NEEDS LICENSE,NEEDS FMA TRACK URL,"Oh Yeah, the Future - The Pursuit of Unintentional Humor - NEEDS LICENSE"
music_safe/track-093.mp3,Pierce Murphy - Good King Wenceslaus.mp3,Good King Wenceslaus,Pierce Murphy,NEEDS LICENSE,NEEDS FMA TRACK URL,Pierce Murphy - Good King Wenceslaus - NEEDS LICENSE
music_safe/track-094.mp3,Prince's Band - On The Mississippi.mp3,On The Mississippi,Prince's Band,NEEDS LICENSE,NEEDS FMA TRACK URL,Prince's Band - On The Mississippi - NEEDS LICENSE
music_safe/track-095.mp3,Shane Ivers - Monsieur Miaow.mp3,Monsieur Miaow,Shane Ivers,NEEDS LICENSE,NEEDS FMA TRACK URL,Shane Ivers - Monsieur Miaow - NEEDS LICENSE
music_safe/track-096.mp3,Shane Ivers - Wallpaper Paste.mp3,Wallpaper Paste,Shane Ivers,NEEDS LICENSE,NEEDS FMA TRACK URL,Shane Ivers - Wallpaper Paste - NEEDS LICENSE
music_safe/track-097.mp3,SUPERARE - Hyperreal.mp3,Hyperreal,SUPERARE,NEEDS LICENSE,NEEDS FMA TRACK URL,SUPERARE - Hyperreal - NEEDS LICENSE
music_safe/track-098.mp3,The Midnight Sons - Asymptote.mp3,Asymptote,The Midnight Sons,NEEDS LICENSE,NEEDS FMA TRACK URL,The Midnight Sons - Asymptote - NEEDS LICENSE
music_safe/track-099.mp3,Tricky Diesel - Dark Kingdom.mp3,Dark Kingdom,Tricky Diesel,NEEDS LICENSE,NEEDS FMA TRACK URL,Tricky Diesel - Dark Kingdom - NEEDS LICENSE
music_safe/track-100.mp3,Vlad Annenkov - Fresh Motivational Corporate _Beacon Line_.mp3,Fresh Motivational Corporate _Beacon Line_,Vlad Annenkov,NEEDS LICENSE,NEEDS FMA TRACK URL,Vlad Annenkov - Fresh Motivational Corporate _Beacon Line_ - NEEDS LICENSE
music_safe/track-101.mp3,William Ross Chernoff's Nomads - In Shadows.mp3,In Shadows,William Ross Chernoff's Nomads,NEEDS LICENSE,NEEDS FMA TRACK URL,William Ross Chernoff's Nomads - In Shadows - NEEDS LICENSE
music_safe/track-102.mp3,William Ross Chernoff's Nomads - Makie Elkino.mp3,Makie Elkino,William Ross Chernoff's Nomads,NEEDS LICENSE,NEEDS FMA TRACK URL,William Ross Chernoff's Nomads - Makie Elkino - NEEDS LICENSE
music_safe/track-103.mp3,Yshwa - Silver Haze.mp3,Silver Haze,Yshwa,NEEDS LICENSE,NEEDS FMA TRACK URL,Yshwa - Silver Haze - NEEDS LICENSE
music_safe/track-104.mp3,Yshwa - What They Sayin.mp3,What They Sayin,Yshwa,NEEDS LICENSE,NEEDS FMA TRACK URL,Yshwa - What They Sayin - NEEDS LICENSE
music_safe/track-105.mp3,Zane Little - Ill-Fated Fantasy.mp3,Ill-Fated Fantasy,Zane Little,NEEDS LICENSE,NEEDS FMA TRACK URL,Zane Little - Ill-Fated Fantasy - NEEDS LICENSE
